Character,Sentence
Ron,That's what you said to it.
Harry,You were there. You heard me.
Ron,I heard you speaking Parseltongue.
Ron,Snake language.
Harry,I spoke a different language?
Harry,But I didn't realize...
Harry,How can I speak a language without knowing I can?
Hermione,"I don't know, but it sounded like you were egging the snake on or something."
Hermione,"Harry, listen to me."
Hermione,There's a reason the symbol of Slytherin house is a serpent.
Hermione,Salazar Slytherin was a Parselmouth.
Hermione,He could talk to snakes too.
Ron,Exactly.
Ron,Now the whole school's gonna think you're his great-great-great grandson.
Harry,But I'm not.
Harry,I can't be.
Hermione,He lived a thousand years ago.
Hermione,"For all we know, you could be."
Harry,I'll see you back in the common room.
Voice,I want blood.
Voice,They all must die.
Voice,Kill. Kill. Kill.
Voice,Time to kill.
Filch,Caught in the act.
Filch,"I'll have you out this time, Potter."
Filch,Mark my words.
Harry,No. Mr. Filch! You don't understand...
Harry,Professor I swear I didn't.
Mcgonagall,"This is out of my hands, Potter."
Mcgonagall,Professor Dumbledore will be waiting for you.
Mcgonagall,Sherbet Lemon.
Harry,Professor Dumbledore?
Sorting hat,"Bee in your bonnet, Potter?"
Harry,I...I..I was just wondering if you put me in the right house.
Sorting hat,Yes. You were particularly difficult to place.
Sorting hat,But I stand by what I said last year.
Sorting hat,You would have done well in Slytherin.
Harry,You're wrong.
Dumbledore,Harry?
Harry,Professor.
Harry,Your bird...There was nothing I could do.
Harry,He just caught fire.
Dumbledore,And about time too.
Dumbledore,He's been looking dreadful for days.
Dumbledore,Pity you had to see him on a burning day.
Dumbledore,"Fawkes is a phoenix, Harry."
Dumbledore,They burst into flame when it is time for them to die...
Dumbledore,and then they are reborn from the ashes.
Dumbledore,"Fascinating creatures, phoenixes."
Dumbledore,They can carry immensely heavy loads.
Dumbledore,Their tears have healing powers.
Hagrid,"Professor Dumbledore, sir!"
Hagrid,Wait! Listen!
Hagrid,"Professor Dumbledore, sir, it wasn't Harry."
Hagrid,I'd be prepared to swear it in front of the Ministry of Magic.
Dumbledore,Hagriiid!! Relax.
Dumbledore,I do not believe that Harry attacked anyone.
Hagrid,Of course you don't.
Hagrid,"Ohh! Oww! Right. Well, I'll..."
Hagrid,"I'll just wait outside, then."
Dumbledore,Yes.
Harry,"You don't think it was me, professor?"
Dumbledore,"No, Harry. I do not think it was you."
Dumbledore,But I must ask you is there something you wish to tell me?
Harry,"No, sir. Nothing"
Dumbledore,"Very well, then."
Dumbledore,Off you go.
Hermione,Everything's set. 
Hermione,We just need a bit of who you're changing into.
Harry,Crabbe and Goyle.
Hermione,We also need to make sure that the real Crabbe and Goyle can't burst in on us while we're interrogating Malfoy.
Ron,How?
Hermione,I've got it all worked out.
Hermione,I filled these with a simple Sleeping Draught.
Hermione,"Simple, but powerful."
Hermione,"Now, once they're asleep hide them in the broomstick cupboard and pull out a few of their hairs and put on their uniforms."
Ron,"Whose hair are you ripping out, then?"
Hermione,I've already got mine.
Hermione,Millicent Bulstrode. Slytherin.
Hermione,I got this off her robes.
Hermione,I'm going to go check on the Polyjuice Potion.
Hermione,Make sure that Crabbe and Goyle find these.
Harry,"Ron, maybe I should do it."
Ron,Yeah. Right.
Harry,Wingardium Leviosa.
Crabbe,Cool. Umm..um.
Ron,How thick could you get?
Harry,"Come on, let's get them."
Hermione,We'll have exactly one hour before we change back into ourselves.
Hermione,Add the hairs.
Ron,Essence of Crabbe.
Hermione,Cheers.
Ron,I think I'm gonna be sick.
Hermione,Me too.
Ron,Harry?
Harry,Ron.
Ron,Bloody hell!
Harry,We still sound like ourselves.
Harry,You need to sound more like Crabbe.
Ron,Bloody hell.
Harry,Excellent.
Ron,But where's Hermione?
Hermione,I...I don't think I'm going.
Hermione,You go on without me.
Harry,"Hermione, are you okay?"
Hermione,Just go. You're wasting time.
Harry,Come on.
Harry,I think the Slytherin common room's this way.
Percy,Excuse me.
Ron,What are you doing d...?
Ron,"I mean, what are you doing down here?"
Percy,I happen to be a school prefect.
Percy,"You, on the other hand, have no business wandering the corridors at night."
Percy,What are your names again?
Harry,I'm...
Draco,"Crabbe, Goyle, where have you been?"
Draco,Pigging out in the Great Hall all this time?
Draco,Why are you wearing glasses?
Harry,Ah- um.. Reading.
Draco,Reading?
Draco,I didn't know you could read.
Draco,"And what are you doing down here, Weasley?"
Percy,"Mind your attitude, Malfoy."
Draco,"Well, sit down."
Draco,"You'd never know the Weasleys were pure-bloods, the way they behave."
Draco,They're an embarrassment to the wizarding world. All of them.
Draco,"What's wrong with you, Crabbe?"
Ron,Stomachache.
Draco,I'm surprised the Daily Prophet hasn't done a report on all these attacks.
Draco,I suppose Dumbledore is trying to hush it all up.
Draco,Father always said Dumbledore was the worst thing that ever happened to this place.
Harry,You're wrong!
Draco,What?
Draco,You think there's someone here who's worse than Dumbledore?
Draco,Well? Do you?
Harry,Harry Potter?
Draco,"Good one, Goyle."
Draco,You're absolutely right.
Draco,Saint Potter.
Draco,And people actually think that he's the Heir of Slytherin?
Harry,But then you must have some idea who's behind it all.
Draco,"You know I don't, Goyle."
Draco,I told you yesterday.
Draco,How many times do I have to tell you?
Draco,Is this yours?
Draco,But my father did say this:
Draco,It's been 50 years since the Chamber was opened.
Draco,He wouldn't tell me who opened it.
Draco,Only that they were expelled.
Draco,"The last time the Chamber of Secrets was opened, a Mudblood died."
Draco,So it's only a matter of time before one of them is killed this time.
Draco,As for me I hope it's Granger.
Draco,What's the matter with you two?
Draco,You're acting very odd.
Harry,It's his stomachache.
Harry,Calm down.
Ron,Scar!
Harry,Hair!
Draco,Hey! Where are you going?
Ron,That was close.
Harry,"Hermione, come out."
Harry,We've got loads to tell you.
Hermione,Go away.
Moaning myrtle,Wait till you see. It's awful.
Harry,Hermione?
Harry,Are you okay?
Hermione,Do you remember me telling you that the Polyjuice Potion was only for human transformations?
Hermione,It was cat hair I plucked off Millicent Bulstrode's robes.
Hermione,Look at my face.
Ron,Look at your tail.
Ron,Have you spoken to Hermione?
Harry,She should be out of hospital in a few days when she stops coughing up fur balls.
Harry,What's this?
Ron,Yuck!
Harry,Looks like Moaning Myrtle's flooded the bathroom.
Moaning myrtle,Ohh-Uhh..Come to throw something else at me?
Harry,Why would I throw something at you?
Moaning myrtle,"Don't ask me. Here I am, minding my own business and someone thinks it's funny to throw a book at me."
Ron,But it can't hurt if someone throws something at you.
Ron,"I mean, it'll just go right through you."
Moaning myrtle,SURE! Let's all throw books at Myrtle because she can't feel it.
Moaning myrtle,Ten points if you get it through her stomach!
Moaning myrtle,Fifty points if it goes through her head!
Harry,"But who threw it at you, anyway?"
Moaning myrtle,I don't know. I didn't see them.
Moaning myrtle,"I was just sitting in the U-bend, thinking about death and it fell through the top of my head."
Moaning myrtle,Whoo-oooh-whoooo...
Harry,"""Tom Marvolo Riddle."""
Harry,My name is Harry Potter.
Diary,"Hello Harry Potter, my name is Tom Riddle."
Harry,Do you know anything about the Chamber of Secrets?
Diary,Yes.
Harry,Can you tell me?
Diary,No. But I can show you.
Diary,Let me take you back fifty years ago.
Diary,13th June..
Harry,Excuse me. 
Harry,Could you tell me what's going on here?
Harry,Are you Tom Riddle?
Harry,"Hello, can you hear me?"
Dumbledore,Riddle! Come.
Tom riddle,Professor Dumbledore.
Harry,Dumbledore?
Dumbledore,"It is not wise to be wandering around this late hour, Tom."
Tom riddle,"Yes, professor. I suppose I..."
Tom riddle,I had to see for myself if the rumors were true.
Dumbledore,"I'm afraid they are, Tom."
Dumbledore,They are true.
Tom riddle,About the school as well?
Tom riddle,I don't have a home to go to.
Tom riddle,"They wouldn't really close Hogwarts, would they, professor?"
Dumbledore,"I understand, Tom, but I'm afraid Headmaster Dippet may have no choice."
Tom riddle,"Sir, if it all stopped, if the person responsible was caught..."
Dumbledore,Is there something you wish to tell me?
Tom riddle,"No, sir. Nothing."
Dumbledore,"Very well, then. Off you go."
Tom riddle,"Good night, sir."
Hagrid,Let's get you out of there.
Tom riddle,"Evening, Hagrid."
Tom riddle,I'm going to have to turn you in Hagrid
Tom riddle,I don't think you meant it to kill anyone...
Hagrid,You can't. You don't understand.
Tom riddle,The dead girl's parents will be here tomorrow. 
Tom riddle,The least Hogwarts can do is make sure the thing that killed their daughter is slaughtered.
Hagrid,It wasn't him.
Hagrid,Aragog never killed no one. Never.
Tom riddle,"Monsters don't make good pets, Hagrid."
Tom riddle,"Now, stand aside."
Hagrid,No!
Tom riddle,"Stand aside, Hagrid."
Hagrid,No!
Tom riddle,Cistem Aperio!
Tom riddle,Arania Exumai!
Hagrid,Aragog! Aragog!
Tom riddle,I can't let you go.
Tom riddle,"They'll have your wand for this, Hagrid."
Tom riddle,You'll be expelled.
Harry,Hagrid!
Harry,HAAGRIIID!
Harry,Wow!
Harry,It was Hagrid. 
Harry,Hagrid opened the Chamber of Secrets 50 years ago.
Hermione,It can't be Hagrid.
Hermione,It just can't be.
Ron,We don't even know this Tom Riddle.
Ron,"He sounds like a dirty, rotten snitch."
Harry,"The monster had killed somebody, Ron."
Harry,What would any of us have done?
Hermione,"Look, Hagrid's our friend. "
Hermione,Why don't we just go and ask him about it?
Ron,That would be a cheerful visit.
Ron,"Hello, Hagrid. Tell us, have you been setting anything mad and hairy loose in the castle lately?"
Hagrid,"Mad and hairy? You wouldn't be talking about me, now, would you?"
Harry-ron-hermione,No.
Harry,"What's that you've got, Hagrid?"
Hagrid,It's Flesh-Eating Slug Repellent.
Hagrid,"For the Mandrakes, you know."
Hagrid,"Now, according to Professor Sprout, they've still got a bit of growing to do."
Hagrid,"But once their acne's cleared up, we'll chop them up and stew them. and then we'll get those people down at the hospital un-Petrified."
Hagrid,"In the meantime, though, you three had best be looking after yourselves."
Hagrid,All right?
Hagrid,"Hello, Neville."
Neville,"Harry, I don't know who did it, but you'd better come."
Neville,Come on!
Hermione,It had to be a Gryffindor.
Hermione,Nobody else knows our password.
Hermione,Unless it wasn't a student.
Ron,"Whoever it was, they must have been looking for something."
Harry,And they found it.
Harry,Tom Riddle's diary is gone.
Wood,"All right, listen up."
Wood,"We play our game, Hufflepuff doesn't stand a chance."
Wood,"We're stronger, quicker and smarter."
Fred,Not to mention they're dead scared that Harry will Petrify them if they fly anywhere near him.
Wood,"Well, that too."
Wood,Professor McGonagall.
Mcgonagall,This match has been canceled.
Wood,We can't cancel Quidditch.
Mcgonagall,"Silence, Wood. You and your teammates will go to Gryffindor Tower. Now."
Mcgonagall,"Potter, you and I will find Mr. Weasley."
Mcgonagall,There's something the both of you have to see.
Mcgonagall,I warn you.
Mcgonagall,This could be a wee bit of a shock.
Ron,Hermione!
Mcgonagall,She was found near the library along with this.
Mcgonagall,Does it mean anything to either of you?
Harry,No.
Mcgonagall,"Could I have your attention, please?"
Mcgonagall,"Because of recent events, these new rules will be put into effect immediately:"
Mcgonagall,All students will return to their house common rooms by 6:00 every evening.
Mcgonagall,All students will be escorted to each lesson by a teacher.
Mcgonagall,No exceptions.
Mcgonagall,I should tell you this:
Mcgonagall,Unless the culprit behind these attacks is caught it is likely the school will be closed.
Harry,"We've got to talk to Hagrid, Ron."
Harry,I can't believe it's him but if he did set the monster loose last time he'll know how to get inside the Chamber of Secrets. That's a start.
Ron,But you heard McGonagall.
Ron,We're not allowed to leave the tower except for class.
Harry,I think it's time to get my dad's old cloak out again.
Hagrid,Who's there?
Hagrid,Hello? Hello?
Harry,What's that for?
Hagrid,Nothing. I was expecting... It doesn't matter. Come on in.
Hagrid,I just made a pot of tea.
Harry,"Hagrid, are you okay?"
Hagrid,I'm fine. I'm all right.
Harry,Did you hear about Hermione?
Hagrid,"Oh yeah. I heard about that, all right."
Harry,"Look, we have to ask you something."
Harry,Do you know who's opened the Chamber of Secrets?
Hagrid,What you had to understand about that is...
Hagrid,"Quick, under the cloak."
Hagrid,Don't say a word.
Hagrid,"Be quiet, both of you."
Hagrid,"Professor Dumbledore, sir."
Dumbledore,"Good evening, Hagrid."
Dumbledore,"I wonder, could we...?"
Hagrid,Of course. Come in. Come in.
Ron,That's Dad's boss.
Ron,"Cornelius Fudge, Minister of Magic."
Fudge,"Bad business, Hagrid, very bad business."
Fudge,Had to come.
Fudge,Three attacks on Muggle-borns.
Fudge,Things have gone far enough.
Fudge,The Ministry's got to act.
Hagrid,But I never...
Hagrid,"You know I never, professor."
Dumbledore,"I want it understood, Cornelius that Hagrid has my full confidence."
Fudge,"Albus, look, Hagrid's record is against him."
Fudge,I've got to take him.
Hagrid,Take me? Take me where?
Hagrid,Not Azkaban prison.
Fudge,"I'm afraid we have no choice, Hagrid."
Lucius malfoy,"Already here, Fudge?"
Lucius malfoy,Good.
Hagrid,What are you doing here?
Hagrid,Get out of my house!
Lucius malfoy,Believe me I take absolutely no pleasure being inside your...
Lucius malfoy,You call this a house?
Lucius malfoy,No.
Lucius malfoy,I simply called up the school and was told the headmaster was here.
Dumbledore,"Well, what exactly is it that you want with me?"
Lucius malfoy,The other governors and I have decided it's time for you to step aside.
Lucius malfoy,This is an order of suspension.
Lucius malfoy,You'll find all 12 signatures on it.
Lucius malfoy,I'm afraid we feel you've rather lost your touch.
Lucius malfoy,"Well, what, with all these attacks there'll be no Muggle-borns left at Hogwarts."
Lucius malfoy,I can only imagine what an awful loss that would be to the school.
Hagrid,You can't take Professor Dumbledore away.
Hagrid,Take him away and the Muggle-borns won't stand a chance.
Hagrid,"You mark my words, there'll be killings next!"
Lucius malfoy,You think so?
Dumbledore,"Calm yourself, Hagrid."
Dumbledore,"If the governors desire my removal I will, of course, step aside."
Dumbledore,However you will find that help will always be given at Hogwarts to those who ask for it.
Lucius malfoy,Admirable sentiments.
Lucius malfoy,Shall we?
Lucius malfoy,Fudge.
Fudge,"Come, Hagrid."
Hagrid,Well? If...
Hagrid,If anybody was looking for some stuff then all they'd have to do would be to follow the spiders.
Hagrid,Yep. That would lead them right.
Hagrid,That's all I have to say.
Hagrid,And someone will need to feed Fang while I'm away.
Fudge,Good boy.
Ron,Hagrid's right.
Ron,"With Dumbledore gone, there'll be an attack a day."
Harry,Look.
Harry,Come on.
Harry,"Come on, Fang."
Harry,Come on.
Ron,What?
Harry,You heard what Hagrid said.
Harry,Follow the spiders.
Ron,They're heading to the Dark Forest.
Ron,"Why spiders? Why couldn't it be ""follow the butterflies""?"
Ron,"Harry, I don't like this."
Ron,"Harry, I don't like this at all."
Harry,Shush!
Ron,Can we go back now?
Harry,Come on.
Aragog,Who is it?
Harry,Don't panic.
Aragog,Hagrid?
Aragog,Is that you?
Harry,We're friends of Hagrid's.
Harry,And you?
Harry,"You're Aragog, aren't you?"
Aragog,Yes.
Aragog,Hagrid has never sent men into our hollow before.
Harry,"He's in trouble. Up at the school, there have been attacks."
Harry,They think it's Hagrid.
Harry,They think he opened the Chamber of Secrets. Like before.
Aragog,That's a lie.
Aragog,Hagrid never opened the Chamber of Secrets.
Harry,Then you're not the monster?
Aragog,No.
Aragog,The monster was born in the castle.
Aragog,I came to Hagrid from a distant land in the pocket of a traveler.
Ron,Harry.
Harry,"But if you're not the monster, then what did kill that girl 50 years ago?"
Aragog,We do not speak of it.
Aragog,It is an ancient creature we spiders fear above all others.
Harry,But have you seen it?
Aragog,I never saw any part of the castle but the box in which Hagrid kept me.
Aragog,The girl was discovered in a bathroom.
Aragog,"When I was accused, Hagrid brought me here."
Ron,Harry!
Harry,What?
Harry,"Well, thank you."
Harry,We'll just go.
Aragog,Go?
Aragog,I think not.
Aragog,My sons and daughters do not harm Hagrid on my command.
Aragog,But I cannot deny them fresh meat when it wanders so willingly into our midst.
Aragog,"Goodbye, friend of Hagrid."
Ron,Can we panic now?
Ron,Know any spells?
Harry,"One, but it's not powerful enough for all of them."
Ron,Where's Hermione when you need her?
Harry,Let's go!
Harry,Arania Exumai!
Harry,Go!
Ron,Glad we're out of there.
Harry,Arania Exumai!
Ron,Thanks for that.
Harry,Don't mention it.
Harry,Get us out of here.
Harry,Now!
Harry,Come on!
Harry,"Come on, move faster!"
Harry,Come on! Go!
Harry,Get us in the air.
Ron,The flying gear's jammed!
Harry,Come on! Pull!
Ron,I'm trying!
Ron,Follow the spiders!
Ron,Follow the spiders.
Ron,"If Hagrid ever gets out of Azkaban, I'll kill him."
Ron,"I mean, what was the point of sending us in there?"
Ron,What have we found out?
Harry,We know one thing.
Harry,Hagrid never opened the Chamber of Secrets.
Harry,He was innocent.
Harry,"Wish you were here, Hermione."
Harry,We need you.
Harry,Now more than ever.
Ron,What's that?
Harry,Ron...
Harry,This is why Hermione was in the library the day she was attacked.
Harry,Come on.
Harry,Of the many fearsome beasts that roam our land none is more deadly than the basilisk.
Harry,Capable of living for hundreds of years instant death awaits any who meet this giant serpent's eye.
Harry,Spiders flee before it.
Harry,"Ron, this is it."
Harry,The monster in the Chamber of Secrets is a basilisk.
Harry,That's why I can hear it speak.
Harry,It's a snake.
Ron,"But if it kills by looking people in the eye, why is it no one's dead?"
Harry,Because no one did look it in the eye.
Harry,"Not directly, at least."
Harry,Colin saw it through his camera.
Harry,Justin... Justin must have seen the basilisk through Nearly Headless Nick.
Harry,Nick got the full blast of it.
Harry,"But he's a ghost, he couldn't die again."
Harry,And Hermione had the mirror.
Harry,I bet you she was using it to look around corners in case it came along.
Ron,And Mrs. Norris?
Ron,"I'm pretty sure she didn't havea camera or a mirror, Harry."
Harry,The water.
Harry,There was water on the floor that night.
Harry,She only saw the basilisk's reflection.
Harry,Spiders flee before it.
Harry,It all fits.
Ron,How's a basilisk been getting around?
Ron,"A dirty, great snake."
Ron,Someone would have seen it.
Harry,Hermione's answered that too.
Ron,Pipes? It's using the plumbing.
Harry,Remember what Aragog said about that girl 50 years ago?
Harry,She died in a bathroom?
Harry,What if she never left?
Ron,Moaning Myrtle.
Mcgonagall,All students are to return to their house dormitories at once.
Mcgonagall,All teachers to the second-floor corridor immediately.
Mcgonagall,"As you can see, the Heir of Slytherin has left another message."
Mcgonagall,Our worst fear has been realized.
Mcgonagall,A student has been taken by the monster into the Chamber itself.
Mcgonagall,The students must be sent home.
Mcgonagall,I'm afraid this is the end of Hogwarts.
Gilderoy lockhart,So sorry. Dozed off.
Gilderoy lockhart,What have I missed?
Snape,"A girl has been snatched by the monster, Lockhart. "
Snape,Your moment has come at last.
Gilderoy lockhart,My moment?
Snape,Weren't you saying just last night that you've known all along where the entrance to the Chamber of Secrets is?
Mcgonagall,That's settled. 
Mcgonagall,"We'll leave you to deal with the monster, Gilderoy."
Mcgonagall,"Your skills, after all, are legend."
Gilderoy lockhart,Very well.
Gilderoy lockhart,I'll just be in my office getting...
Gilderoy lockhart,Getting ready.
Madam pomfrey,"Who is it that the monster's taken, Minerva?"
Mcgonagall,Ginny Weasley.
Ron,Her skeleton will lie in the Chamber forever.
Ron,Ginny.
Harry,"Lockhart may be useless, but he's going to try and get into the Chamber."
Harry,At least we can tell him what we know.
Harry,"Professor, we have some information for you."
Harry,Are you going somewhere?
Gilderoy lockhart,"Well, yes. Urgent call. Unavoidable."
Gilderoy lockhart,Got to go.
Ron,What about my sister?
Gilderoy lockhart,Well… Aemm…
Gilderoy lockhart,"As to that, most unfortunate."
Gilderoy lockhart,No one regrets more than I.
Ron,You're the Defense Against the Dark Arts teacher. 
Ron,You can't go now.
Gilderoy lockhart,"I must say, when I took the job, there was nothing in the description..."
Harry,You're running away?
Harry,After all you did in your books?
Gilderoy lockhart,Books can be misleading.
Harry,You wrote them.
Gilderoy lockhart,"My dear boy, use your common sense."
Gilderoy lockhart,My books wouldn't have sold as well if people didn't think I'd done those things.
Harry,You're a fraud.
Harry,You've been taking credit for what other wizards have done.
Ron,Is there anything you can do?
Gilderoy lockhart,"Yes, now you mention it."
Gilderoy lockhart,I'm rather gifted with Memory Charms.
Gilderoy lockhart,"Otherwise, all those wizards would have gone blabbing."
Gilderoy lockhart,I'd never have sold another book.
Gilderoy lockhart,"In fact, I'm going to have to do the same to you."
Harry,Don't even think about it.
Moaning myrtle,Who's there?
Moaning myrtle,"Hello, Harry."
Moaning myrtle,What do you want?
Harry,To ask you how you died.
Moaning myrtle,It was dreadful.
Moaning myrtle,It happened right here in this very cubicle.
Moaning myrtle,I'd hidden because Olive Hornby was teasing me about my glasses.
Moaning myrtle,"I was crying, and then I heard somebody come in."
Harry,"Who was it, Myrtle?"
Moaning myrtle,I don't know. I was distraught!
Moaning myrtle,"But they said something funny, a kind of made-up language."
Moaning myrtle,"And I realized it was a boy, so I unlocked the door to tell him to go away and I died."
Harry,Just like that? How?
Moaning myrtle,"I just remember seeing a pair of great, big, yellow eyes over there by that sink."
Harry,This is it.
Harry,"This is it, Ron. I think this is the entrance to the Chamber of Secrets."
Ron,Say something. 
Ron,Harry say something in Parseltongue!
Gilderoy lockhart,"Excellent, Harry. Good work."
Gilderoy lockhart,"Well, then, I'll just be..."
Gilderoy lockhart,There's no need for me to stay.
Harry,"Yes, there is."
Harry,You first.
Gilderoy lockhart,"Now, boys, what good will it do?"
Ron,Better you than us.
Gilderoy lockhart,"But... Obviously, yes."
Gilderoy lockhart,Sure you don't want to test it first?
Gilderoy lockhart,It's really quite filthy down here.
Harry,All right. Let's go.
Moaning myrtle,"Oh, Harry?"
Moaning myrtle,"If you die down there, you're welcome to share my toilet."
Harry,"Thanks, Myrtle."
Harry,"Now, remember: Any sign of movement, close your eyes straightaway."
Ron,Go on.
Harry,This way.
Ron,What's this?
Gilderoy lockhart,It looks like a snake.
Harry,It's a snake skin.
Ron,Bloody hell.
Ron,Whatever shed this must be 60 feet long. Or more.
Ron,"Heart of a lion, this one."
Gilderoy lockhart,"The adventure ends here, boys."
Gilderoy lockhart,But don't fret.
Gilderoy lockhart,The world will know our story.
Gilderoy lockhart,How I was too late to save the girl.
Gilderoy lockhart,How you two tragically lost your minds at the sight of her mangled body.
Gilderoy lockhart,"So...You first, Mr. Potter."
Gilderoy lockhart,Say goodbye to your memories.
Gilderoy lockhart,Obliviate!
Ron,Harry! Harry
Harry,"Ron! Ron, are you okay?"
Ron,I'm fine.
Gilderoy lockhart,Hello. Who are you?
Ron,Ron Weasley.
Gilderoy lockhart,Really?
Gilderoy lockhart,And who am I?
Ron,Lockhart's Memory Charm backfired.
Ron,He hasn't got a clue who he is.
Gilderoy lockhart,"It's an odd sort of place, isn't it?"
Gilderoy lockhart,Do you live here?
Ron,No.
Gilderoy lockhart,Really?
Ron,What do I do now?
Harry,You wait here and try and shift some of this rock so we can get back through.
Harry,I'll go on and find Ginny.
Ron,Okay.
Harry,"Ginny! Ginny, please don't be dead."
Harry,"Wake up, wake up."
Harry,Please wake up.
Tom riddle,She won't wake.
Harry,Tom. Tom Riddle.
Harry,"What do you mean, she won't wake?"
Harry,She's not...?
Tom riddle,"She's still alive, but only just."
Harry,Are you a ghost?
Tom riddle,A memory preserved in a diary for 50 years.
Harry,She's cold as ice.
Harry,"Ginny, please don't be dead. Wake up."
Harry,"You've got to help me, Tom."
Harry,There's a basilisk.
Tom riddle,It won't come until it's called.
Harry,"Give me my wand, Tom."
Tom riddle,You won't be needing it.
Harry,We've got to go. We've got to save her.
Tom riddle,I'm afraid I can't do that.
Tom riddle,"You see, as poor Ginny grows weaker, I grow stronger."
Tom riddle,"Yes, Harry, it was Ginny Weasley who opened the Chamber of Secrets."
Harry,No. She couldn't. She wouldn't.
Tom riddle,It was Ginny who set the basilisk on the Mudbloods and Filch's cat Ginny who wrote the threatening messages on the walls.
Harry,But why?
Tom riddle,Because I told her to.
Tom riddle,You'll find I can be very persuasive.
Tom riddle,Not that she knew what she was doing.
Tom riddle,"She was, shall we say, in a kind of trance."
Tom riddle,"Still, the power of the diary began to scare her."
Tom riddle,She tried to dispose of it in the girls' bathroom.
Tom riddle,And then who should find it but you?
Tom riddle,The very person I was most anxious to meet.
Harry,And why did you want to meet me?
Tom riddle,"I knew I had to talk to you, meet you if I could."
Tom riddle,So I decided to show you my capture of that brainless oaf Hagrid to gain your trust.
Harry,Hagrid's my friend.
Harry,"And you framed him, didn't you?"
Tom riddle,It was my word against Hagrid's.
Tom riddle,Only Dumbledore seemed to think he was innocent.
Harry,I'll bet Dumbledore saw right through you.
Tom riddle,He certainly kept an annoyingly close watch on me after that.
Tom riddle, I knew it wouldn't be safe to open the Chamber again while I was at school so I decided to leave behind a diary preserving my 16-year-old self in its pages so that one day
Tom riddle,I would be able to lead another to finish Salazar Slytherin's noble work.
Harry,"Well, you haven't finished it this time."
Harry,"In a few hours, the Mandrake Draught will be ready."
Harry,And everyone who was Petrified will be all right again.
Tom riddle,Haven't I told you? Killing Mudbloods doesn't matter to me anymore.
Tom riddle,"For many months now, my new target has been you."
Tom riddle,How is it that a baby with no extraordinary magical talent was able to defeat the greatest wizard of all time?
Tom riddle,How did you escape with nothing but a scar while Lord Voldemort's powers were destroyed?
Harry,Why do you care how I escaped?
Harry,Voldemort was after your time.
Tom riddle,"Voldemort is my past, present and future."
Harry,You. You're the Heir of Slytherin.
Harry,You're Voldemort.
Tom riddle,Surely you didn't think .I was going to keep my filthy Muggle father's name?
Tom riddle,"No. I fashioned myself a new name, a name I knew wizards everywhere would fear to speak when I became the greatest sorcerer in the world."
Harry,Albus Dumbledore is the greatest sorcerer in the world.
Tom riddle,Dumbledore's been driven out of this castle by the mere memory of me.
Harry,He'll never be gone. 
Harry,Not as long as those who remain are loyal to him.
Harry,Fawkes?
Tom riddle,So this is what Dumbledore sends his great defender.
Tom riddle,A songbird and an old hat.
Tom riddle,"Let's match the power of Lord Voldemort, Heir of Salazar Slytherin against the famous Harry Potter."
Tom riddle,"Parseltongue won't save you now, Potter. "
Tom riddle,It only obeys me.
Tom riddle,"No! Your bird may have blinded the basilisk, but it can still hear you."
Tom riddle,"Yes, Potter."
Tom riddle,The process is nearly complete.
Tom riddle,"In a few minutes, Ginny Weasley will be dead, and I will cease to be a memory."
Tom riddle,Lord Voldemort will return .very much alive.
Harry,Ginny?
Tom riddle,"Remarkable, isn't it? how quickly the venom of the basilisk penetrates the body?"
Tom riddle,I'd guess you have little more than a minute to live.
Tom riddle,"You'll be with your dear Mudblood mother soon, Harry."
Tom riddle,"Funny, the damage a silly little book can do especially in the hands of a silly little girl."
Tom riddle,What are you doing?
Tom riddle,Stop. No!
Harry,Ginny?
Ginny,"Harry, It was me."
Ginny,"But I swear, I didn't mean to."
Ginny,"Riddle made me, and..."
Ginny,"Harry, you're hurt."
Harry,Don't worry.
Harry,"Ginny, you need to get yourself out."
Harry,Follow the Chamber and you'll find Ron.
Harry,"You were brilliant, Fawkes."
Harry,I just wasn't quick enough.
Harry,Of course.
Harry,Phoenix tears have healing powers.
Harry,Thanks.
Harry,"It's all right, Ginny."
Harry,It's over.
Harry,It's just a memory.
Gilderoy lockhart,Amazing!
Gilderoy lockhart,This is just like magic!
Dumbledore,"You both realize, of course that in the past few hours, you have broken perhaps a dozen school rules."
Harry and ron,"Yes, sir."
Dumbledore,There is sufficient evidence to have you both expelled.
Harry and ron,"Yes, sir."
Dumbledore,"Therefore, it is only fitting that you both receive Special Awards for Services to the School."
Ron,"Thanks, sir."
Dumbledore,"Now, Mr. Weasley, if you would have an owl deliver these release papers to Azkaban."
Dumbledore,I believe we want our gamekeeper back.
Dumbledore,"Harry, First, I want to thank you, Harry."
Dumbledore,You must have shown me real loyalty down in the Chamber.
Dumbledore,Nothing but that could have called Fawkes to you.
Dumbledore,And second I sense that something is troubling you.
Dumbledore,"Am I right, Harry?"
Harry,It's just...
Harry,"You see, sir, I couldn't help but notice certain things, certain..."
Harry,Certain similarities between Tom Riddle and me.
Dumbledore,I see.
Dumbledore,"Well, you can speak Parseltongue, Harry. Why?"
Dumbledore,Because Lord Voldemort can speak Parseltongue.
Dumbledore,"If I'm not mistaken, Harry he transferred some of his powers to you the night he gave you that scar."
Harry,Voldemort transferred some of his powers to me?
Dumbledore,Not intentionally but yes.
Harry,So the Sorting Hat was right.
Harry,I should be in Slytherin.
